Term,Section Name,Requisites,Description,Available Seats,Enrolled,Capacity,Waitlisted,Instructor Method,Modality 1 Schedule,Modality 1 Instructor,Modality 1 Times,Modality 1 Location,Modality 1 Days,Modality 2 Times,Modality 2 Days,Modality 2 Instructor,Modality 2 Location
Spring 2025,ART-495B-01,None,Beginning Digi Fab,20,5,25,0,"Required Times on Campus Lect, Required Times on Campus Lab,  Arranged On Campus Lab",2/3/2025 - 5/31/2025,James M. Jenkins,6:00 PM - 8:05 PM,None,T,8:15 PM - 9:05 PM,T,None,None,None
Spring 2025,ART-5-01,None,3D Design,0,25,25,3,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Leeyeon Yoo,9:00 AM - 11:05 AM,None,M,11:15 AM - 12:05 PM,M,None,None,None
Spring 2025,ART-50L-01,None,Gallery Viewing Lab,3,97,100,0,No Required Times Online Lab,2/3/2025 - 5/31/2025,Biagio J. Scarpello, - ,None,,None,None,None,None,None
Spring 2025,ART-51L-01,None,Museum Viewing Lab,74,26,100,0,No Required Times Online Lab,2/3/2025 - 5/31/2025,Biagio J. Scarpello, - ,None,,None,None,None,None,None
Spring 2025,ART-6A-01,None,Ceramics Hand Building I,0,26,25,15,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Crystal R. Kamoroff,1:00 PM - 3:05 PM,None,M,3:15 PM - 4:05 PM,M,None,None,None
Spring 2025,ART-6B-01,None,Ceramics Hand Building II,0,25,25,5,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Crystal R. Kamoroff,1:00 PM - 3:05 PM,None,M,3:15 PM - 4:05 PM,M,None,None,None
Spring 2025,ART-72A-01,None,Ceramics Process I,8,17,25,0,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Gail C. Ritchie-Bobeda,6:00 PM - 8:05 PM,None,M,8:15 PM - 9:05 PM,M,None,None,None
Spring 2025,ART-72B-01,None,Ceramics Process II,8,17,25,0,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Gail C. Ritchie-Bobeda,6:00 PM - 8:05 PM,None,M,8:15 PM - 9:05 PM,M,None,None,None
Spring 2025,ART-74-01,None,Monotype Printmaking,4,21,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Tobin W. Keller,10:00 AM - 12:05 PM,None,F,12:35 PM - 4:40 PM,F,None,None,None
Spring 2025,ART-79-01,None,Creative Careers,14,16,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Leslie Murray,6:00 PM - 9:05 PM,None,M, - ,,Gabriel J. Medina,None,Gabriel J. Medina
Spring 2025,ART-8A-01,None,Sm Metal/Jewelry Fabrication I,0,24,24,14,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Brian P. Meek,6:00 PM - 8:05 PM,None,M,8:15 PM - 9:05 PM,M,None,None,None
Spring 2025,ART-95A-01,None,Survey Digi Fab Art,8,17,25,0,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Biagio J. Scarpello,9:00 AM - 11:05 AM,None,T,11:15 AM - 12:05 PM,T,None,None,None
Spring 2025,ART-95B-01,None,Beginning Digi Fab,20,5,25,0,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,James M. Jenkins,6:00 PM - 8:05 PM,None,T,8:15 PM - 9:05 PM,T,None,None,None
Spring 2025,ART-9A-01,None,Ceramics Wheel Forming I,0,25,25,15,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Crystal R. Kamoroff,9:00 AM - 11:05 AM,None,M,11:15 AM - 12:05 PM,M,None,None,None
Spring 2025,ART-9B-01,None,Ceramics Wheel Forming II,0,25,25,6,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Crystal R. Kamoroff,9:00 AM - 11:05 AM,None,M,11:15 AM - 12:05 PM,M,None,None,None
Spring 2025,ASL-1-01,None,Elem ASL I,7,23,30,0,"Required Times on Campus Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Celeste Love,10:20 AM - 12:25 PM,None,T/Th, - ,,None,None,None
Spring 2025,ASL-2-01,None,Elementary ASL II,13,17,30,0,"Required Times on Campus Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Celeste Love,12:45 PM - 2:50 PM,None,T/Th, - ,,None,None,None
